Date,REER 
1994-01-01,124.11
1994-02-01,123.85
1994-03-01,123.84
1994-04-01,122.91
1994-05-01,123.44
1994-06-01,123.38
1994-07-01,122.65
1994-08-01,122.35
1994-09-01,122.33
1994-10-01,122.21
1994-11-01,120.88
1994-12-01,121.01
1995-01-01,120.62
1995-02-01,120.66
1995-03-01,119.45
1995-04-01,117.41
1995-05-01,118.33
1995-06-01,118.52
1995-07-01,119.53
1995-08-01,122.20
1995-09-01,123.92
1995-10-01,124.95
1995-11-01,124.75
1995-12-01,125.13
1996-01-01,125.50
1996-02-01,125.83
1996-03-01,125.85
1996-04-01,125.34
1996-05-01,125.65
1996-06-01,125.85
1996-07-01,126.48
1996-08-01,127.31
1996-09-01,127.25
1996-10-01,128.38
1996-11-01,128.00
1996-12-01,128.07
1997-01-01,128.28
1997-02-01,129.68
1997-03-01,130.84
1997-04-01,130.29
1997-05-01,130.97
1997-06-01,137.89
1997-07-01,114.82
1997-08-01,111.06
1997-09-01,103.26
1997-10-01,99.19
1997-11-01,96.76
1997-12-01,89.43
1998-01-01,78.13
1998-02-01,88.63
1998-03-01,99.29
1998-04-01,102.66
1998-05-01,105.33
1998-06-01,100.57
1998-07-01,103.62
1998-08-01,103.62
1998-09-01,103.65
1998-10-01,105.44
1998-11-01,109.02
1998-12-01,108.58
1999-01-01,106.99
1999-02-01,107.24
1999-03-01,107.08
1999-04-01,105.42
1999-05-01,107.03
1999-06-01,107.32
1999-07-01,107.07
1999-08-01,103.68
1999-09-01,98.07
1999-10-01,98.56
1999-11-01,100.48
1999-12-01,102.35
2000-01-01,104.29
2000-02-01,105.15
2000-03-01,104.54
2000-04-01,103.84
2000-05-01,103.26
2000-06-01,101.89
2000-07-01,100.07
2000-08-01,99.58
2000-09-01,97.89
2000-10-01,95.61
2000-11-01,94.69
2000-12-01,95.66
2001-01-01,95.41
2001-02-01,97.53
2001-03-01,96.15
2001-04-01,93.99
2001-05-01,94.04
2001-06-01,94.94
2001-07-01,94.91
2001-08-01,94.26
2001-09-01,95.30
2001-10-01,95.16
2001-11-01,95.99
2001-12-01,97.80
2002-01-01,98.15
2002-02-01,98.96
2002-03-01,99.44
2002-04-01,98.75
2002-05-01,98.41
2002-06-01,98.16
2002-07-01,98.92
2002-08-01,97.43
2002-09-01,96.63
2002-10-01,96.02
2002-11-01,94.96
2002-12-01,94.74
2003-01-01,94.65
2003-02-01,94.13
2003-03-01,94.20
2003-04-01,93.84
2003-05-01,93.86
2003-06-01,94.56
2003-07-01,95.33
2003-08-01,96.49
2003-09-01,98.03
2003-10-01,97.94
2003-11-01,97.19
2003-12-01,96.47
2004-01-01,96.57
2004-02-01,97.16
2004-03-01,97.26
2004-04-01,97.28
2004-05-01,96.06
2004-06-01,94.83
2004-07-01,94.51
2004-08-01,93.99
2004-09-01,94.10
2004-10-01,93.42
2004-11-01,93.02
2004-12-01,94.83
2005-01-01,99.49
2005-02-01,100.67
2005-03-01,100.69
2005-04-01,99.39
2005-05-01,99.18
2005-06-01,98.03
2005-07-01,98.53
2005-08-01,99.51
2005-09-01,100.45
2005-10-01,101.74
2005-11-01,101.34
2005-12-01,100.97
2006-01-01,102.42
2006-02-01,103.64
2006-03-01,105.47
2006-04-01,107.81
2006-05-01,106.31
2006-06-01,106.57
2006-07-01,107.86
2006-08-01,108.59
2006-09-01,109.16
2006-10-01,110.29
2006-11-01,111.24
2006-12-01,112.13
2007-01-01,111.46
2007-02-01,111.47
2007-03-01,113.38
2007-04-01,113.57
2007-05-01,114.80
2007-06-01,115.00
2007-07-01,116.78
2007-08-01,114.29
2007-09-01,113.61
2007-10-01,112.68
2007-11-01,111.70
2007-12-01,112.89
2008-01-01,112.92
2008-02-01,114.41
2008-03-01,116.19
2008-04-01,116.77
2008-05-01,117.49
2008-06-01,114.63
2008-07-01,113.03
2008-08-01,110.90
2008-09-01,111.77
2008-10-01,112.90
2008-11-01,111.90
2008-12-01,108.49
2009-01-01,108.72
2009-02-01,110.79
2009-03-01,110.81
2009-04-01,111.09
2009-05-01,110.55
2009-06-01,111.48
2009-07-01,111.34
2009-08-01,111.10
2009-09-01,110.53
2009-10-01,110.30
2009-11-01,110.10
2009-12-01,110.81
2010-01-01,111.45
2010-02-01,112.66
2010-03-01,114.50
2010-04-01,115.50
2010-05-01,117.02
2010-06-01,117.72
2010-07-01,116.22
2010-08-01,117.23
2010-09-01,119.31
2010-10-01,119.36
2010-11-01,119.82
2010-12-01,119.59
2011-01-01,116.46
2011-02-01,115.58
2011-03-01,116.14
2011-04-01,117.29
2011-05-01,116.01
2011-06-01,114.75
2011-07-01,115.77
2011-08-01,116.43
2011-09-01,115.94
2011-10-01,115.00
2011-11-01,115.35
2011-12-01,114.57
2012-01-01,106.15
2012-02-01,108.64
2012-03-01,109.98
2012-04-01,117.87
2012-05-01,117.58
2012-06-01,117.72
2012-07-01,118.03
2012-08-01,118.51
2012-09-01,119.19
2012-10-01,119.91
2012-11-01,119.90
2012-12-01,120.43
2013-01-01,122.90
2013-02-01,124.98
2013-03-01,127.43
2013-04-01,129.73
2013-05-01,127.80
2013-06-01,123.78
2013-07-01,123.49
2013-08-01,121.56
2013-09-01,121.21
2013-10-01,121.77
2013-11-01,120.98
2013-12-01,119.21
2014-01-01,117.39
2014-02-01,118.45
2014-03-01,119.08
2014-04-01,119.02
2014-05-01,117.97
2014-06-01,118.13
2014-07-01,119.23
2014-08-01,120.19
2014-09-01,120.83
2014-10-01,120.91
2014-11-01,121.99
2014-12-01,123.05
2015-01-01,123.94
2015-02-01,125.60
2015-03-01,126.74
2015-04-01,125.85
2015-05-01,121.47
2015-06-01,121.89
2015-07-01,120.79
2015-08-01,118.60
2015-09-01,117.25
2015-10-01,117.44
2015-11-01,118.03
2015-12-01,117.15
2016-01-01,117.00
2016-02-01,117.49
2016-03-01,117.03
2016-04-01,116.23
2016-05-01,116.31
2016-06-01,116.03
2016-07-01,116.38
2016-08-01,116.58
2016-09-01,116.81
2016-10-01,116.59
2016-11-01,117.53
2016-12-01,118.33
2017-01-01,118.22
2017-02-01,118.87
2017-03-01,118.49
2017-04-01,119.21
2017-05-01,119.07
2017-06-01,119.83
2017-07-01,120.41
2017-08-01,120.96
2017-09-01,121.25
2017-10-01,122.10
2017-11-01,123.08
2017-12-01,123.11
2018-01-01,123.10
2018-02-01,123.29
2018-03-01,124.03
2018-04-01,124.95
2018-05-01,124.77
2018-06-01,123.55
2018-07-01,122.12
2018-08-01,124.03
2018-09-01,127.02
2018-10-01,126.67
2018-11-01,125.43
2018-12-01,126.23
2019-01-01,126.84
2019-02-01,129.02
2019-03-01,127.87
2019-04-01,127.77
2019-05-01,129.17
2019-06-01,130.76
2019-07-01,131.91
2019-08-01,133.17
2019-09-01,134.34
2019-10-01,134.33
2019-11-01,133.92
2019-12-01,133.57
2020-01-01,131.21
2020-02-01,129.03
2020-03-01,126.85
2020-04-01,124.04
2020-05-01,125.66
2020-06-01,129.11
2020-07-01,128.11
2020-08-01,128.14
2020-09-01,126.95
2020-10-01,126.93
