Date,Open,High,Low,Close,Volume
1989-12-31,899.61,899.61,899.61,899.61,
1990-01-31,853.72,853.72,853.72,853.72,
1990-02-28,813.67,813.67,813.67,813.67,
1990-03-31,853.74,853.74,853.74,853.74,
1990-04-30,855.97,855.97,855.97,855.97,
1990-05-31,1000.71,1000.71,1000.71,1000.71,
1990-06-30,1082.67,1082.67,1082.67,1082.67,
1990-07-31,1114.61,1114.61,1114.61,1114.61,
1990-08-31,862.75,862.75,862.75,862.75,
1990-09-30,654.39,654.39,654.39,654.39,
1990-10-31,649.37,649.37,649.37,649.37,
1990-11-30,544.3,544.3,544.3,544.3,
1990-12-31,594.95,594.95,594.95,594.95,
1991-01-31,658.47,658.47,658.47,658.47,
1991-02-28,790.46,790.46,790.46,790.46,
1991-03-31,853.58,853.58,853.58,853.58,
1991-04-30,876.01,876.01,876.01,876.01,
1991-05-31,808.19,808.19,808.19,808.19,
1991-06-30,739.54,739.54,739.54,739.54,
1991-07-31,728.7,728.7,728.7,728.7,
1991-08-31,723.08,723.08,723.08,723.08,
1991-09-30,670.79,670.79,670.79,670.79,
1991-10-31,638.84,638.84,638.84,638.84,
1991-11-30,666.6,666.6,666.6,666.6,
1991-12-31,712.02,712.02,712.02,712.02,
1992-01-31,763.45,763.45,763.45,763.45,
1992-02-29,799.1,799.1,799.1,799.1,
1992-03-31,822.72,822.72,822.72,822.72,
1992-04-30,760.97,760.97,760.97,760.97,
1992-05-31,698.9,698.9,698.9,698.9,
1992-06-30,751.45,751.45,751.45,751.45,
1992-07-31,744.42,744.42,744.42,744.42,
1992-08-31,746.51,746.51,746.51,746.51,
1992-09-30,847.0,847.0,847.0,847.0,
1992-10-31,950.23,950.23,950.23,950.23,
1992-11-30,865.21,865.21,865.21,865.21,
1992-12-31,893.42,893.42,893.42,893.42,
1993-01-31,965.75,965.75,965.75,965.75,
1993-02-28,910.52,910.52,910.52,910.52,
1993-03-31,865.23,865.23,865.23,865.23,
1993-04-30,845.29,845.29,845.29,845.29,
1993-05-31,825.71,825.71,825.71,825.71,
1993-06-30,877.52,877.52,877.52,877.52,
1993-07-31,938.24,938.24,938.24,938.24,
1993-08-31,963.18,963.18,963.18,963.18,
1993-09-30,971.44,971.44,971.44,971.44,
1993-10-31,1326.16,1326.16,1326.16,1326.16,
1993-11-30,1309.95,1309.95,1309.95,1309.95,
1993-12-31,1753.73,1753.73,1753.73,1753.73,
1994-01-31,1493.45,1493.45,1493.45,1493.45,
1994-02-28,1372.93,1372.93,1372.93,1372.93,
1994-03-31,1239.99,1239.99,1239.99,1239.99,
1994-04-30,1258.51,1258.51,1258.51,1258.51,
1994-05-31,1356.87,1356.87,1356.87,1356.87,
1994-06-30,1273.34,1273.34,1273.34,1273.34,
1994-07-31,1401.98,1401.98,1401.98,1401.98,
1994-08-31,1524.83,1524.83,1524.83,1524.83,
1994-09-30,1485.71,1485.71,1485.71,1485.71,
1994-10-31,1528.83,1528.83,1528.83,1528.83,
1994-11-30,1362.44,1362.44,1362.44,1362.44,
1994-12-31,1354.05,1354.05,1354.05,1354.05,
1995-01-31,1217.74,1217.74,1217.74,1217.74,
1995-02-28,1288.47,1288.47,1288.47,1288.47,
1995-03-31,1216.68,1216.68,1216.68,1216.68,
1995-04-30,1249.57,1249.57,1249.57,1249.57,
1995-05-31,1392.31,1392.31,1392.31,1392.31,
1995-06-30,1394.77,1394.77,1394.77,1394.77,
1995-07-31,1383.1,1383.1,1383.1,1383.1,
1995-08-31,1314.9,1314.9,1314.9,1314.9,
1995-09-30,1289.96,1289.96,1289.96,1289.96,
1995-10-31,1270.76,1270.76,1270.76,1270.76,
1995-11-30,1196.62,1196.62,1196.62,1196.62,
1995-12-31,1323.43,1323.43,1323.43,1323.43,
1996-01-31,1410.33,1410.33,1410.33,1410.33,
1996-02-29,1325.86,1325.86,1325.86,1325.86,
1996-03-31,1293.63,1293.63,1293.63,1293.63,
1996-04-30,1292.61,1292.61,1292.61,1292.61,
1996-05-31,1294.11,1294.11,1294.11,1294.11,
