Date,1M,3M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,6M,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y,31Y,32Y,33Y,34Y,35Y,36Y,37Y,38Y,39Y,40Y,41Y,42Y,43Y,44Y,45Y,46Y,47Y,48Y,49Y,50Y
2001-01-31 00:00:04,,,2.540114,2.839962,2.972443,3.169229,3.321918,3.565207,3.807176,4.008993,4.242582,4.476172,4.783751,5.099177,5.414603,5.569702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-28 00:00:04,,,2.086976,2.248384,2.481967,2.738441,3.016819,3.378294,3.6894,3.95496,4.178338,4.401716,4.658821,4.916586,5.17435,5.439902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31 00:00:04,1.758174,1.795691,2.141,2.653203,2.9317,3.299313,3.754841,4.385466,4.702067,4.92068,5.111295,5.30486,5.53687,5.768881,6.000678,6.229581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-30 00:00:04,1.706129,1.822477,2.157448,2.569654,2.852388,3.298071,3.67358,4.062385,4.320511,4.676475,5.042399,5.11632,5.350551,5.584781,5.815528,6.025771,6.199244,6.363838,6.528433,6.693027,6.857621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-05-31 00:00:04,1.958066,2.055268,2.899414,3.72081,4.183673,4.58963,5.004286,5.342239,5.582958,5.793455,6.000758,6.107961,6.249498,6.391036,6.540798,6.718073,6.818634,6.909754,7.000874,7.091994,7.183113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30 00:00:04,2.547919,2.819897,3.474574,4.069561,4.414726,4.703908,4.90415,5.127164,5.416367,5.65773,5.942623,6.096087,6.213123,6.330159,6.448294,6.568788,6.66237,6.75535,6.848329,6.941309,7.034288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-31 00:00:04,2.390338,2.692358,3.373851,3.945962,4.51868,4.925285,5.219378,5.519175,5.7796,6.057073,6.24552,6.340065,6.422371,6.504677,6.595376,6.697065,6.770209,6.843353,6.916497,6.989641,7.062785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-08-31 00:00:04,2.563803,2.759479,3.325957,3.796667,4.471141,4.943498,5.472381,5.779576,5.888694,6.107101,6.318748,6.412734,6.487111,6.561487,6.671984,6.809272,6.874358,6.939444,7.004529,7.069615,7.1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30 00:00:04,2.632887,2.759479,3.132433,3.434697,3.909227,4.343565,4.895131,5.204622,5.375889,5.66552,5.920464,6.066168,6.191054,6.31594,6.425736,6.515678,6.577292,6.638907,6.700521,6.762135,6.82375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-31 00:00:04,2.337481,2.544061,2.776608,2.958629,3.226973,3.621505,4.248957,4.687727,4.9432,5.269647,5.5032,5.646507,5.788378,5.930248,6.085656,6.217236,6.279371,6.341506,6.403641,6.465777,6.527912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-30 00:00:04,2.35162,2.477647,2.663536,2.910122,3.22125,3.571286,3.962357,4.277932,4.476833,4.860784,5.071194,5.242933,5.371446,5.499593,5.596245,5.688935,5.793419,5.897903,6.002387,6.106871,6.211355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
